STATE_FIPS,CNTY_FIPS,STCOFIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4VTP,CATP,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,045,06045,California,CA,Mendocino ,0.1594,0.045,19443.0,0.1917,0.1355,0.2541,0.2291,0.1057,0.2525,0.043,0.045,0.1329,0.084,0.0785,0.0249,0.5965,0.4737,0.5088,0.5088,0.5614,0.6842,0.4912,0.8947,0.7193,0.9123,0.3509,0.4035,0.4035,0.3684,0.7368,0.4561,0.5614,0.5614,0.5965,0.7018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86265,36937,13505,3017,10906,11690,21923,18378,3524,21783,3490,1661,4909,2793,2612,2144
06,047,06047,California,CA,Merced ,0.2166,0.0778,14257.0,0.3619,0.0942,0.3439,0.2092,0.1242,0.5972,0.141,0.0685,0.0743,0.2003,0.1043,0.0137,0.9474,0.9825,0.0702,0.9649,0.9825,0.1228,1.0,0.5965,0.8772,0.7544,0.9298,0.9298,0.9474,0.4561,0.5088,0.9474,0.9123,0.1754,0.7193,0.9123,1,1,0,1,3,0,1,0,0,1,1,1,2,0,0,1,1,0,2,8,210554,68373,45059,11342,42247,19824,72413,39976,7939,125747,27110,4682,5079,12784,6659,2879
06,049,06049,California,CA,Modoc ,0.2146,0.0673,17285.0,0.2294,0.1727,0.2562,0.2767,0.0813,0.1948,0.0221,0.0252,0.2307,0.0555,0.0756,0.0435,0.9298,0.8596,0.3158,0.6491,0.8947,0.8421,0.5263,0.9825,0.2807,0.7719,0.2456,0.2632,0.2281,0.1228,0.8947,0.2632,0.4912,0.7719,0.4737,0.6667,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,9449,4807,1962,493,1483,1632,2421,2409,306,1841,198,121,1109,210,286,411
06,051,06051,California,CA,Mono ,0.1148,0.0428,23422.0,0.1206,0.0732,0.2256,0.1381,0.0713,0.2375,0.0511,0.1695,0.073,0.0829,0.0514,0.0279,0.3158,0.4211,0.7368,0.1053,0.2456,0.0,0.1228,0.0,0.1228,0.0,0.3158,0.4386,0.4035,0.8421,0.4737,0.4386,0.1053,0.614,0.4211,0.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12853,11757,1456,440,1046,941,2899,1641,368,3052,618,1993,858,426,264,359
06,053,06053,California,CA,Monterey ,0.1351,0.0522,20165.0,0.3157,0.1,0.2836,0.1978,0.0926,0.5977,0.1714,0.1162,0.0414,0.2057,0.0713,0.0523,0.4386,0.614,0.5439,0.8947,0.7719,0.2807,0.7018,0.4386,0.5439,0.4737,0.9474,0.9825,0.9649,0.7193,0.193,0.9649,0.4561,0.8421,0.8246,0.7544,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,3,401762,131708,51692,15658,77061,40181,113940,69898,11224,240132,63577,15299,5454,24935,8640,21031
06,055,06055,California,CA,Napa ,0.0829,0.0268,26395.0,0.196,0.1529,0.2417,0.1899,0.0717,0.3113,0.0756,0.0763,0.0789,0.0905,0.0617,0.0422,0.1579,0.0877,0.8596,0.5263,0.2807,0.7544,0.3509,0.3509,0.1404,0.2982,0.4561,0.5439,0.4737,0.5263,0.5439,0.5088,0.2982,0.7544,0.5789,0.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124279,48554,9913,2619,16455,19006,30040,21557,3256,38682,8835,3706,3832,4109,2803,5243
06,057,06057,California,CA,Nevada ,0.0806,0.0281,24007.0,0.0968,0.1751,0.2294,0.1848,0.0808,0.099,0.0127,0.0315,0.0733,0.0378,0.0472,0.0094,0.1053,0.1053,0.7544,0.0351,0.0175,0.8772,0.2281,0.3158,0.2632,0.3333,0.0,0.1754,0.0877,0.1579,0.4912,0.0526,0.0175,0.0702,0.0,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92033,44282,7332,2071,6309,16112,21108,16086,2987,9108,1115,1397,3244,1396,1742,866
06,059,06059,California,CA,Orange ,0.1033,0.033,25826.0,0.2054,0.098,0.2695,0.166,0.0777,0.4886,0.1221,0.1796,0.0322,0.1574,0.0582,0.0149,0.2281,0.1754,0.8421,0.5965,0.386,0.2105,0.614,0.1228,0.2105,0.1228,0.6667,0.8596,0.7719,0.8596,0.1228,0.8772,0.2456,0.2281,0.3684,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2846289,969484,289475,71059,372419,278805,767129,434000,72706,1390819,321374,174113,31265,147258,54409,42344
06,061,06061,California,CA,Placer ,0.0581,0.0261,27963.0,0.0955,0.1311,0.2634,0.1644,0.0791,0.1662,0.0191,0.0673,0.0424,0.0382,0.0495,0.0117,0.0,0.0526,0.9123,0.0175,0.0,0.6491,0.5789,0.1053,0.2281,0.2807,0.1754,0.2456,0.2105,0.4386,0.2105,0.0702,0.0526,0.1404,0.0175,0.0175,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248399,107302,14272,4972,15835,32577,65433,37907,7393,41275,4441,7217,4553,3566,4621,2901
06,063,06063,California,CA,Plumas ,0.1306,0.0533,19391.0,0.1197,0.1788,0.2269,0.2181,0.0652,0.1119,0.0066,0.0142,0.134,0.0404,0.0642,0.0091,0.4211,0.6491,0.4912,0.0877,0.3158,0.8947,0.1404,0.7544,0.0351,0.386,0.0351,0.0351,0.0,0.0351,0.7544,0.1053,0.3509,0.0526,0.0702,0.0877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20824,13386,2686,893,1770,3723,4724,4291,587,2331,132,190,1794,364,578,189
06,065,06065,California,CA,Riverside ,0.1417,0.0436,18689.0,0.2505,0.1261,0.3022,0.2004,0.0998,0.4905,0.085,0.0934,0.1307,0.1268,0.0708,0.0223,0.4912,0.4386,0.4386,0.6842,0.5263,0.5789,0.7895,0.5088,0.614,0.7193,0.6842,0.614,0.6316,0.6667,0.7193,0.6842,0.4386,0.5088,0.7368,0.7193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545387,584674,214084,49096,234473,194833,467079,280915,50598,758069,121135,54586,76411,64168,35832,34429
06,067,06067,California,CA,Sacramento ,0.1413,0.0423,21142.0,0.1673,0.1108,0.2748,0.2001,0.1122,0.423,0.058,0.1466,0.0306,0.0856,0.0869,0.0208,0.4737,0.4035,0.614,0.3509,0.386,0.4386,0.6491,0.4912,0.8246,0.6667,0.5789,0.4912,0.5088,0.807,0.1053,0.4737,0.7719,0.4561,0.5439,0.5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223499,474814,169784,38961,129270,135503,336227,224148,50943,517577,65850,69622,14525,38838,39405,25495
06,069,06069,California,CA,San Benito ,0.0995,0.0446,20932.0,0.2508,0.0792,0.321,0.1707,0.1045,0.5428,0.1028,0.0322,0.052,0.148,0.0486,0.0097,0.2105,0.4561,0.5789,0.7018,0.4561,0.0351,0.9474,0.1754,0.6842,0.4211,0.807,0.8246,0.8421,0.193,0.2982,0.807,0.0351,0.0877,0.0877,0.4035,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,53234,16499,5241,1680,7876,4217,17090,8266,1662,28896,5000,532,858,2351,772,514
06,071,06071,California,CA,San Bernardino ,0.1584,0.0493,16856.0,0.2579,0.0851,0.3224,0.1982,0.1255,0.5617,0.0788,0.0931,0.0671,0.1464,0.0797,0.0264,0.5789,0.5088,0.2456,0.7193,0.5263,0.0526,0.9649,0.4737,0.8947,0.6316,0.8421,0.5614,0.7193,0.6316,0.4386,0.7895,0.5965,0.5965,0.7895,0.807,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1709434,601369,263412,59913,253594,145447,551110,302693,66392,960210,123579,56012,40375,77383,42120,45141
06,073,06073,California,CA,San Diego ,0.1243,0.0361,22926.0,0.1742,0.1115,0.2561,0.179,0.0916,0.4511,0.073,0.2008,0.0425,0.1181,0.0804,0.0344,0.3684,0.2807,0.7018,0.4035,0.3509,0.4561,0.5088,0.2807,0.5263,0.3509,0.6491,0.5263,0.5789,0.9298,0.2281,0.5965,0.614,0.6842,0.7719,0.5088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2813833,1040149,338399,78259,308849,313702,720751,448590,91197,1269349,191069,208846,44234,117472,79978,96907
06,075,06075,California,CA,San Francisco ,0.1131,0.0305,34556.0,0.1881,0.1377,0.1441,0.2027,0.042,0.5637,0.1337,0.3306,0.0011,0.1241,0.2856,0.0254,0.2807,0.1404,0.9649,0.4737,0.4211,0.7018,0.0,0.5263,0.0,0.1754,0.8596,0.8947,0.8947,1.0,0.0,0.6667,1.0,0.5789,0.8772,0.5789,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,776733,346527,86585,20609,112065,106958,111955,150131,13846,437847,99659,114559,377,40921,94178,19742
06,077,06077,California,CA,San Joaquin ,0.1774,0.0619,17365.0,0.2877,0.1055,0.3091,0.2139,0.1159,0.5281,0.0941,0.1051,0.0462,0.1398,0.095,0.0334,0.6842,0.7719,0.3333,0.7895,0.8246,0.386,0.8421,0.6842,0.8421,0.8596,0.7719,0.7368,0.7544,0.7018,0.2456,0.7544,0.8421,0.6667,0.8596,0.8772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563598,189160,97105,25277,95953,59482,174203,108656,21055,297638,48874,19877,8736,25395,17247,18801
06,079,06079,California,CA,San Luis Obispo ,0.1284,0.0345,21864.0,0.1442,0.1446,0.2151,0.1758,0.0734,0.2395,0.0315,0.0721,0.1011,0.0563,0.0527,0.0633,0.4035,0.2105,0.6667,0.1579,0.1754,0.7193,0.0702,0.2105,0.1579,0.1404,0.3333,0.3509,0.3333,0.4912,0.6842,0.2982,0.1228,0.8596,0.4035,0.2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246681,102275,29775,6911,22964,35679,53068,39367,6810,59084,7395,7377,10337,5221,4889,15616
06,081,06081,California,CA,San Mateo ,0.0583,0.0217,36045.0,0.1472,0.1248,0.2283,0.1637,0.0632,0.5029,0.0807,0.1893,0.0114,0.1225,0.061,0.0148,0.0175,0.0351,0.9825,0.1754,0.0877,0.5088,0.193,0.0702,0.0175,0.0702,0.7018,0.5965,0.6491,0.8947,0.0175,0.6316,0.2807,0.2105,0.2456,0.1404,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,707161,260576,40692,12191,72164,88240,161411,107440,16065,355619,53465,49319,2969,31132,15507,10461
06,083,06083,California,CA,Santa Barbara ,0.1433,0.0418,23059.0,0.2076,0.1266,0.2473,0.1767,0.0747,0.432,0.0951,0.1346,0.0577,0.1291,0.0686,0.0417,0.5088,0.386,0.7193,0.614,0.614,0.614,0.4386,0.2281,0.193,0.2105,0.614,0.7544,0.7018,0.7895,0.386,0.7193,0.4035,0.7368,0.7544,0.5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399347,142901,55086,13004,51220,50550,98773,64541,10220,172506,35541,19229,8246,17635,9366,16645
06,085,06085,California,CA,Santa Clara ,0.0753,0.0261,32795.0,0.166,0.0947,0.247,0.1641,0.0691,0.5596,0.1005,0.1823,0.033,0.143,0.0565,0.0176,0.0702,0.0526,0.9474,0.3333,0.1404,0.1404,0.4211,0.0877,0.0877,0.0351,0.8246,0.7895,0.8246,0.8772,0.1754,0.7719,0.1579,0.3158,0.3509,0.2807,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1682585,579329,124470,34194,184800,159263,415559,254729,39162,941585,157257,105587,19102,80904,31978,29688
